No,Name,Category,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Reference
1,Ink Wash,Minimal,"minimal, monochrome, gray, newspaper",#2D2D2D,#5A5A5A,#8A8A8A,#F5F5F5,#1A1A1A,#D0D0D0,Monochromatic shades of gray for clean readability,Figma Resource Library
2,Neutral Elegance,Minimal,"neutral, beige, luxury, minimalism",#C4B7A6,#8B7355,#A69076,#F5F1ED,#3D3229,#E0D6CA,Muted beige gray brown for serene professional atmosphere,Figma Resource Library
3,Jade Pebble Morning,Minimal,"green, tranquility, nature, organic",#7A9E7E,#4A6B4E,#3D5A42,#F0F4F1,#2D3D30,#C8D4CA,Cool shades of green conveying tranquility,Figma Resource Library
4,Woodland,Minimal,"chartreuse, neutral, sustainability, outdoor",#C5D469,#8B8B6E,#6B6B4E,#F5F4F0,#3D3D30,#D8D6CE,Chartreuse pop against neutral backdrop,Figma Resource Library
5,Driftwood Pearl Morning,Minimal,"rose gold, brown, warmth, tranquility",#D4A49A,#7A5C4F,#3D5A6B,#E8E2DE,#3D332E,#D0C8C2,Rose gold and brown tones with depth,Figma Resource Library
6,Graphite,Minimal,"cool gray, green, wellness, skincare",#9AACA6,#7D8B86,#5A6B66,#F2F4F3,#3A4442,#D4DCDA,Cool gray green for gentle inviting atmosphere,Figma Resource Library
7,Urban Slate,Minimal,"foggy, cityscape, calm, professional",#7A8B9A,#5A6B7A,#4A5A6A,#F0F2F4,#2D3A42,#D0D6DC,Foggy cityscapes evoking calm sophistication,Figma Resource Library
8,Pearl,Minimal,"purple, wisdom, luxury, elegance",#C4B8D4,#8B7AA4,#6B5A8A,#F5F3F7,#3D3442,#DCD6E4,Purple accent for elegance and sophistication,Figma Resource Library
9,Vichy,Minimal,"classic, check, timeless, soft",#B8C4D0,#9AA8B8,#7A8A9A,#F5F7F9,#3A424A,#D4DCE4,Classic soft palette with gentle blues,Figma Resource Library
10,Sorbet,Minimal,"pastel, soft, light, airy",#E8D4D0,#D0B8B4,#B89A98,#FAF6F5,#4A3A38,#E8DAD8,Soft pastel tones for light airy feel,Figma Resource Library
11,Frozen Mist,Minimal,"icy, blue, fresh, clean",#C8D8E8,#A8C0D4,#88A8C0,#F5F8FA,#3A4A58,#D8E4EC,Icy blue tones for fresh clean aesthetic,Figma Resource Library
12,Yacht Club,Minimal,"nautical, navy, coastal, preppy",#2C3E50,#5D7A8C,#8BA4B8,#F4F6F7,#1A2830,#C8D4DC,Nautical tones for coastal elegance,Figma Resource Library
13,Amber Walnut Morning,Warm,"brown, earthy, luxury, comfort",#8B5A2B,#C49A6C,#D4B896,#F5EDE5,#3D2A1A,#E0D0C0,Warm earthy brown with excellent contrast,Figma Resource Library
14,Copper Aquamarine Dream,Warm,"burnt orange, teal, coastal, modern",#C27A4A,#5A9A9A,#7AB8B8,#F5F0EA,#3A2A20,#E0D4CA,Burnt orange with cool blues and greens,Figma Resource Library
15,Cocoa Topaz Noonday,Warm,"chocolate, orange, autumn, cozy",#5A3A2A,#C46A2A,#E89A5A,#F5EEE8,#2D1A10,#DCD0C4,Cozy autumn vibes with warm tones,Figma Resource Library
16,Sandstone Aquamarine Serenity,Warm,"natural, pastel blue, earthy, calming",#C4AA8A,#8AC4D4,#5AA8C0,#F5F2EE,#3A302A,#E0D8D0,Natural tones with refreshing pastel blue,Figma Resource Library
17,Honey Opal Sunset,Warm,"mustard, taupe, timeless, elegant",#D4A42A,#A89080,#887060,#F5F0E8,#3A3028,#E0D8D0,Rich mustard and taupe for timeless elegance,Figma Resource Library
18,Seashell Garnet Afternoon,Warm,"coral, pastel, summer, vibrant",#E87A6A,#F0C0B0,#D4A090,#FAF5F2,#4A2A25,#E8D8D0,Soft pastels with vibrant coral pops,Figma Resource Library
19,Rose Quartz Evening,Warm,"maroon, blush, romance, elegance",#7A2A3A,#D49AAA,#E8C0CA,#F8F2F4,#3A1A22,#E0D0D4,Maroon and blush for romantic elegance,Figma Resource Library
20,Calcite,Warm,"gray, blue, orange, peach, tech",#6A7A8A,#C0A080,#E8A870,#F5F2F0,#3A3A42,#D8D4D0,Sophistication and fun with warm grays,Figma Resource Library
21,Fireside,Warm,"fire, warm, cozy, inviting",#B84A2A,#D48A5A,#E8B090,#F5EDE8,#3A2018,#E0D0C8,Cozy fireside warmth and comfort,Figma Resource Library
22,Terrazzo,Warm,"speckled, playful, artistic, warm",#D4A080,#8AC0A8,#E8C4A0,#F8F4F0,#3A3028,#E0D8D0,Playful terrazzo-inspired warm tones,Figma Resource Library
23,Sapphire Nightfall Whisper,Cool,"ocean, blue, gradient, calm",#1A3A5A,#2A5A8A,#5A8AB8,#E8F0F8,#0A1A2A,#C0D4E8,Calming ocean waves blue gradient,Figma Resource Library
24,Lapis Velvet Evening,Cool,"starry night, plum, sophisticated",#2A2A4A,#5A4A7A,#8A7AA8,#F0EEF4,#1A1A2A,#D4D0E0,Deep blues and plum like starry night,Figma Resource Library
25,Marina,Cool,"beachside, navy, chestnut, nautical",#1A2A3A,#8A7060,#B8A090,#F5F2F0,#0A1218,#D4CEC8,Beachside stroll pastels with navy,Figma Resource Library
26,Emerald Lavender Lake,Cool,"green, blue, lilac, whimsy, tranquil",#5A9A8A,#7AAAC0,#B8A0C8,#F2F5F4,#2A3A38,#D0DCD8,Tranquility with touch of whimsy,Figma Resource Library
27,Sage Peridot Morning,Cool,"mint green, earthy, fresh, sustainable",#7AAA8A,#A0C8A8,#B8D8C0,#F4F8F5,#2A3A30,#D0E0D4,Fresh green tones for sustainability,Figma Resource Library
28,Amethyst Dawn Haze,Cool,"purple, yellow, dreamy, contrast",#8A7AAA,#B0A0C8,#E8D84A,#F5F4F8,#3A3442,#DCD8E4,Dreamy purple with vibrant yellow,Figma Resource Library
29,Moon Dust,Cool,"periwinkle, ethereal, soft, innocent",#AAB8D8,#C8D0E8,#D8E0F0,#F8FAFC,#3A4252,#E0E8F4,Soft ethereal periwinkle shades,Figma Resource Library
30,Turquoise Amber Autumn,Cool,"turquoise, orange, adventure, dynamic",#4AA8B8,#D88A4A,#E8A860,#F0F5F4,#1A3A40,#C8DCD8,Cool blues with warm adventure colors,Figma Resource Library
31,Sapphire Ash Morning,Cool,"sapphire, ash, refined, morning",#2A4A6A,#8A9AA8,#B0BCC8,#F4F5F6,#1A2A3A,#D4DCE0,Refined sapphire with soft ash tones,Figma Resource Library
32,Frosted Aura,Cool,"frost, blue, serene, winter",#A0C8E0,#C0D8EC,#D8E8F4,#FAFBFC,#2A4050,#D8E4EC,Serene frosted winter blues,Figma Resource Library
33,Royal Glimmer,Cool,"royal, purple, gold, luxurious",#4A3A6A,#8A7AAA,#D4AA5A,#F6F4F8,#2A2238,#E0D8E8,Royal purple with golden glimmer,Figma Resource Library
34,Neptune,Cool,"ocean, deep blue, mysterious",#0A2A4A,#2A5A7A,#4A8AAA,#EEF4F8,#051520,#C4D8E8,Deep mysterious ocean blues,Figma Resource Library
35,Tropical Jade Sunrise,Vibrant,"tropical, orange, teal, vacation",#E88A5A,#4AAAB0,#70C0C4,#F8F5F2,#4A2A18,#E0D4C8,Coastal vacation vibes with sandal orange,Figma Resource Library
36,Amethyst Mint Harmony,Vibrant,"neon pink, lime, purple, playful",#8A2A8A,#3AAA70,#E05A90,#1A2A2A,#F0E8F0,#4A5A4A,Playful dark mood with neon pops,Figma Resource Library
37,Hibiscus Aura,Vibrant,"fuchsia, cherry, passion, bold",#D02A70,#7A2A8A,#2A3A6A,#0A1020,#F0E0EA,#3A2A4A,Fuchsia and cherry for passion,Figma Resource Library
38,Ocean Ruby Radiance,Vibrant,"pink, orange, royal blue, playful",#E85A70,#F0905A,#1A4A8A,#1A3A3A,#F8F0F2,#2A5A5A,Playful energy with bright pops,Figma Resource Library
39,Tropical Heat,Vibrant,"retro, teal, coral, nostalgic",#40A0A0,#F0D8C8,#E89080,#FAF8F5,#1A3838,#C8E0DC,Retro beach poster vibes,Figma Resource Library
40,Celestial,Vibrant,"yellow, blue, bold, innovative",#E8D02A,#2A5AA0,#7A5A3A,#1A2A40,#F8F4E0,#3A4A5A,Bold yellow and blue contrast,Figma Resource Library
41,Festive Eve,Vibrant,"twilight, gradient, purple, dreamy",#5A70B8,#8A60C8,#B880D8,#1A1A30,#E8E0F0,#3A3050,Dreamy twilight gradient,Figma Resource Library
42,Freshly Squeezed,Vibrant,"citrus, orange, yellow, fresh",#F8A020,#E8D040,#F0E070,#FFFAF0,#4A3010,#E8D8B0,Fresh citrus energy,Figma Resource Library
43,Jelly Shoes,Vibrant,"translucent, playful, bright, retro",#E060A0,#60C0D0,#A0E080,#F8F5FA,#3A2A38,#E0D4E0,Playful retro jelly colors,Figma Resource Library
44,Opaline,Modern,"sleek, gray, white, cinnabar",#E8E4E0,#C8C4C0,#D04A3A,#FAFAFA,#3A3838,#E0DCDA,Sleek minimalist with cinnabar pop,Figma Resource Library
45,Gossamer,Modern,"retro, turquoise, coral, vintage",#40B0B8,#E87870,#D8D4D0,#FAFAFA,#2A4040,#D0E8E8,Retro flair turquoise and coral,Figma Resource Library
46,Clockwork,Modern,"gray, orange, warm, minimal",#8A8A88,#E89050,#F0A868,#FAFAFA,#3A3A38,#E0E0DE,Neutral gray with warm orange,Figma Resource Library
47,Lemon Granite Morning,Modern,"yellow, gunmetal, versatile, edgy",#E8D840,#4A5A6A,#7A8A9A,#F8F8F5,#2A3038,#D8DCE0,Bright yellow with gunmetal gray,Figma Resource Library
48,Arctic Reflection,Modern,"glaucous, blue, spa, tranquil",#7A9AB0,#9AB8C8,#B8D0DC,#F8FAFC,#2A3A48,#D8E4EC,Dusty glaucous for calm tranquility,Figma Resource Library
49,Slate,Modern,"pastel green, gray, fintech, wellness",#90D8A0,#8A9098,#A8B0B8,#F8F9FA,#2A3030,#DCE0E4,Vibrant pastel green accent,Figma Resource Library
50,Autumn Luxe,Modern,"gold, black, sophisticated, timeless",#C8A858,#2A2A28,#8A8A88,#FAF9F8,#1A1A18,#E4E2E0,Sophisticated gold and black blend,Figma Resource Library
51,Inked,Modern,"black, white, teal, creative",#1A1A1A,#E8E8E8,#40C8C8,#FAFAFA,#0A0A0A,#D8D8D8,Classic B&W with vibrant teal,Figma Resource Library
52,Wraith,Modern,"brown, gray, emerald, earthy modern",#3A2A28,#9A9898,#40A870,#FAF9F8,#2A1A18,#E0DCDA,Dark brown with emerald freshness,Figma Resource Library
53,Urban Nocturne,Modern,"night, urban, city lights, dark",#1A1A28,#4A4A5A,#8A8AA8,#0A0A12,#E8E8F0,#3A3A48,Urban night with city light hints,Figma Resource Library